element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,22,21,-5.67278841e+07,-7.31593684e+06,-6.00669562e+06,5.44499708e+07
1,1,2,23,22,-3.81004608e+07,2.81476290e+06,-2.85133496e+06,3.98898747e+07
2,2,3,24,23,-2.25943683e+07,6.23563019e+05,-3.30057417e+06,2.36149252e+07
3,3,4,25,24,-8.72264418e+06,1.07030583e+06,-2.68884755e+06,1.04045988e+07
4,4,5,26,25,3.09943665e+06,9.80838900e+05,-2.30436357e+06,4.84342636e+06
5,5,6,27,26,1.29640722e+07,9.99275430e+05,-1.88159004e+06,1.29124817e+07
6,6,7,28,27,2.08535007e+07,9.95227061e+05,-1.46377224e+06,2.05312661e+07
7,7,8,29,28,2.67709670e+07,9.96177537e+05,-1.04555608e+06,2.63493447e+07
8,8,9,30,29,3.07158820e+07,9.95945635e+05,-6.27328659e+05,3.02497370e+07
9,9,10,31,30,3.26883466e+07,9.95999732e+05,-2.09108782e+05,3.22039379e+07
10,10,11,32,31,3.26883466e+07,9.95999732e+05,2.09108782e+05,3.22039379e+07
11,11,12,33,32,3.07158820e+07,9.95945635e+05,6.27328659e+05,3.02497370e+07
12,12,13,34,33,2.67709670e+07,9.96177537e+05,1.04555608e+06,2.63493447e+07
13,13,14,35,34,2.08535007e+07,9.95227061e+05,1.46377224e+06,2.05312661e+07
14,14,15,36,35,1.29640722e+07,9.99275430e+05,1.88159004e+06,1.29124817e+07
15,15,16,37,36,3.09943665e+06,9.80838900e+05,2.30436357e+06,4.84342636e+06
16,16,17,38,37,-8.72264418e+06,1.07030583e+06,2.68884755e+06,1.04045988e+07
17,17,18,39,38,-2.25943683e+07,6.23563019e+05,3.30057417e+06,2.36149252e+07
18,18,19,40,39,-3.81004608e+07,2.81476290e+06,2.85133496e+06,3.98898747e+07
19,19,20,41,40,-5.67278841e+07,-7.31593684e+06,6.00669562e+06,5.44499708e+07
20,21,22,43,42,-2.70187352e+07,-3.50502744e+06,-7.08928936e+06,2.82554407e+07
21,22,23,44,43,-1.97067707e+07,1.35634326e+06,-7.49509503e+06,2.41961768e+07
22,23,24,45,44,-1.11243423e+07,8.11743644e+05,-6.20079501e+06,1.57730659e+07
23,24,25,46,45,-4.40812255e+06,7.47297018e+05,-5.49356719e+06,1.06687401e+07
24,25,26,47,46,1.54836864e+06,8.03671470e+05,-4.61837177e+06,8.11092023e+06
25,26,27,48,47,6.47304045e+06,7.84021097e+05,-3.78545614e+06,8.96822034e+06
26,27,28,49,48,1.04187484e+07,7.89227237e+05,-2.94278739e+06,1.12663407e+07
27,28,29,50,49,1.33774138e+07,7.88051131e+05,-2.10230524e+06,1.35015999e+07
28,29,30,51,50,1.53498593e+07,7.88285743e+05,-1.26131474e+06,1.51298462e+07
29,30,31,52,51,1.63360976e+07,7.88245003e+05,-4.20451642e+05,1.59731933e+07
30,31,32,53,52,1.63360976e+07,7.88245003e+05,4.20451642e+05,1.59731933e+07
31,32,33,54,53,1.53498593e+07,7.88285743e+05,1.26131474e+06,1.51298462e+07
32,33,34,55,54,1.33774138e+07,7.88051131e+05,2.10230524e+06,1.35015999e+07
33,34,35,56,55,1.04187484e+07,7.89227237e+05,2.94278739e+06,1.12663407e+07
34,35,36,57,56,6.47304045e+06,7.84021097e+05,3.78545614e+06,8.96822034e+06
35,36,37,58,57,1.54836864e+06,8.03671470e+05,4.61837177e+06,8.11092023e+06
36,37,38,59,58,-4.40812255e+06,7.47297018e+05,5.49356719e+06,1.06687401e+07
37,38,39,60,59,-1.11243423e+07,8.11743644e+05,6.20079501e+06,1.57730659e+07
38,39,40,61,60,-1.97067707e+07,1.35634326e+06,7.49509503e+06,2.41961768e+07
39,40,41,62,61,-2.70187352e+07,-3.50502744e+06,7.08928936e+06,2.82554407e+07
40,42,43,64,63,1.62417376e+05,2.91831531e+05,-7.30005810e+06,1.26466079e+07
41,43,44,65,64,1.20112677e+05,5.17882305e+05,-8.95950119e+06,1.55254117e+07
42,44,45,66,65,1.47431788e+05,5.08220755e+05,-7.25302178e+06,1.25707626e+07
43,45,46,67,66,1.45876304e+05,4.97406142e+05,-6.38868412e+06,1.10743843e+07
44,46,47,68,67,1.44439046e+05,5.00124499e+05,-5.40354191e+06,9.36982098e+06
45,47,48,69,68,1.44935328e+05,5.00108494e+05,-4.41596463e+06,7.66164879e+06
46,48,49,70,69,1.44859009e+05,4.99964266e+05,-3.43690605e+06,5.96954719e+06
47,49,50,71,70,1.44864070e+05,5.00005849e+05,-2.45427158e+06,4.27421402e+06
48,50,51,72,71,1.44863410e+05,4.99999230e+05,-1.47271298e+06,2.58944079e+06
49,51,52,73,72,1.44863956e+05,5.00000149e+05,-4.90879514e+05,9.59917604e+05
50,52,53,74,73,1.44863956e+05,5.00000149e+05,4.90879514e+05,9.59917604e+05
51,53,54,75,74,1.44863410e+05,4.99999230e+05,1.47271298e+06,2.58944079e+06
52,54,55,76,75,1.44864070e+05,5.00005849e+05,2.45427158e+06,4.27421402e+06
53,55,56,77,76,1.44859009e+05,4.99964266e+05,3.43690605e+06,5.96954719e+06
54,56,57,78,77,1.44935328e+05,5.00108494e+05,4.41596463e+06,7.66164879e+06
55,57,58,79,78,1.44439046e+05,5.00124499e+05,5.40354191e+06,9.36982098e+06
56,58,59,80,79,1.45876304e+05,4.97406142e+05,6.38868412e+06,1.10743843e+07
57,59,60,81,80,1.47431788e+05,5.08220755e+05,7.25302178e+06,1.25707626e+07
58,60,61,82,81,1.20112677e+05,5.17882305e+05,8.95950119e+06,1.55254117e+07
59,61,62,83,82,1.62417376e+05,2.91831531e+05,7.30005810e+06,1.26466079e+07
60,63,64,85,84,2.73294510e+07,4.09767266e+06,-7.00361062e+06,2.82640116e+07
61,64,65,86,85,1.99655590e+07,-3.09811586e+05,-7.52397420e+06,2.39736450e+07
62,65,66,87,86,1.14209317e+07,1.98233048e+05,-6.20478360e+06,1.56112456e+07
63,66,67,88,87,4.69728067e+06,2.48234677e+05,-5.49014994e+06,1.05539224e+07
64,67,68,89,88,-1.25865131e+06,1.96998626e+05,-4.61917784e+06,8.11673431e+06
65,68,69,90,89,-6.18333360e+06,2.15950064e+05,-3.78537501e+06,9.08860451e+06
66,69,70,91,90,-1.01290047e+07,2.10779051e+05,-2.94278428e+06,1.14348626e+07
67,70,71,92,91,-1.30876912e+07,2.11940605e+05,-2.10230630e+06,1.36881507e+07
68,71,72,93,92,-1.50601307e+07,2.11717730e+05,-1.26131510e+06,1.53236290e+07
69,72,73,94,93,-1.60463701e+07,2.11754279e+05,-4.20451487e+05,1.61696957e+07
70,73,74,95,94,-1.60463701e+07,2.11754279e+05,4.20451487e+05,1.61696957e+07
71,74,75,96,95,-1.50601307e+07,2.11717730e+05,1.26131510e+06,1.53236290e+07
72,75,76,97,96,-1.30876912e+07,2.11940605e+05,2.10230630e+06,1.36881507e+07
73,76,77,98,97,-1.01290047e+07,2.10779051e+05,2.94278428e+06,1.14348626e+07
74,77,78,99,98,-6.18333360e+06,2.15950064e+05,3.78537501e+06,9.08860451e+06
75,78,79,100,99,-1.25865131e+06,1.96998626e+05,4.61917784e+06,8.11673431e+06
76,79,80,101,100,4.69728067e+06,2.48234677e+05,5.49014994e+06,1.05539224e+07
77,80,81,102,101,1.14209317e+07,1.98233048e+05,6.20478360e+06,1.56112456e+07
78,81,82,103,102,1.99655590e+07,-3.09811586e+05,7.52397420e+06,2.39736450e+07
79,82,83,104,103,2.73294510e+07,4.09767266e+06,7.00361062e+06,2.82640116e+07
80,84,85,106,105,5.69790700e+07,7.92963225e+06,-5.85034629e+06,5.44090991e+07
81,85,86,107,106,3.84458789e+07,-1.73256756e+06,-2.92009463e+06,3.96645728e+07
82,86,87,108,107,2.28746662e+07,3.61284287e+05,-3.29082545e+06,2.34009662e+07
83,87,88,109,108,9.01192881e+06,-6.74283080e+04,-2.68875119e+06,1.01742427e+07
84,88,89,110,109,-2.80927397e+06,1.85187899e+04,-2.30454491e+06,4.88642704e+06
85,89,90,111,110,-1.26743954e+07,8.76968128e+02,-1.88161418e+06,1.30871246e+07
86,90,91,112,111,-2.05637844e+07,4.73998249e+03,-1.46375005e+06,2.07218343e+07
87,91,92,113,112,-2.64812345e+07,3.82879265e+03,-1.04556079e+06,2.65449954e+07
88,92,93,114,113,-3.04261549e+07,4.05315154e+03,-6.27328519e+05,3.04475757e+07
89,93,94,115,114,-3.23986190e+07,4.00048146e+03,-2.09108576e+05,3.24026437e+07
90,94,95,116,115,-3.23986190e+07,4.00048146e+03,2.09108576e+05,3.24026437e+07
91,95,96,117,116,-3.04261549e+07,4.05315154e+03,6.27328519e+05,3.04475757e+07
92,96,97,118,117,-2.64812345e+07,3.82879266e+03,1.04556079e+06,2.65449954e+07
93,97,98,119,118,-2.05637844e+07,4.73998249e+03,1.46375005e+06,2.07218343e+07
94,98,99,120,119,-1.26743954e+07,8.76968129e+02,1.88161418e+06,1.30871246e+07
95,99,100,121,120,-2.80927397e+06,1.85187899e+04,2.30454491e+06,4.88642704e+06
96,100,101,122,121,9.01192881e+06,-6.74283080e+04,2.68875119e+06,1.01742427e+07
97,101,102,123,122,2.28746662e+07,3.61284287e+05,3.29082545e+06,2.34009662e+07
98,102,103,124,123,3.84458789e+07,-1.73256756e+06,2.92009463e+06,3.96645728e+07
99,103,104,125,124,5.69790700e+07,7.92963225e+06,5.85034629e+06,5.44090991e+07
