theta_deg,max_abs_sigma_x_pa,max_abs_sigma_y_pa,max_sigma_vm_pa
0.00000000e+00,4.67533841e+07,5.54139144e+05,4.64917287e+07
5.00000000e+00,5.48898121e+07,1.10879364e+06,5.46779929e+07
1.00000000e+01,5.93178160e+07,2.34866998e+06,5.94514728e+07
1.50000000e+01,5.92718563e+07,4.23087917e+06,6.01301721e+07
2.00000000e+01,5.57441923e+07,6.51868693e+06,5.76408096e+07
2.50000000e+01,5.02990570e+07,8.92866024e+06,5.33896318e+07
3.00000000e+01,4.43154369e+07,1.12493517e+07,4.85714393e+07
3.50000000e+01,3.86781844e+07,1.33628468e+07,4.39005005e+07
4.00000000e+01,3.38292378e+07,1.52048995e+07,3.96664391e+07
4.50000000e+01,2.99525392e+07,1.67182363e+07,3.59052429e+07
5.00000000e+01,2.71321328e+07,1.78196782e+07,3.25495403e+07
5.50000000e+01,2.54458006e+07,1.83820789e+07,2.95482918e+07
6.00000000e+01,2.50027947e+07,1.82340475e+07,2.70048739e+07
6.50000000e+01,2.59274076e+07,1.71920778e+07,2.53660612e+07
7.00000000e+01,2.90164392e+07,1.51493970e+07,2.84917745e+07
7.50000000e+01,3.30481743e+07,1.22277607e+07,3.25412317e+07
8.00000000e+01,3.69902013e+07,8.91341629e+06,3.63371622e+07
8.50000000e+01,3.97016247e+07,5.99141536e+06,3.90781421e+07
9.00000000e+01,4.16152728e+07,4.29311118e+06,4.00319180e+07
